-------------------------------------------------------------------------------------------- benchmark: 163 tests --------------------------------------------------------------------------------------------
Name (time in ms)                  Min                    Max                   Mean              StdDev                 Median                 IQR            Outliers      OPS            Rounds  Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
test_H[20]                      9.5815 (1.98)         38.5519 (2.23)         16.3419 (1.42)       5.9927 (2.80)         14.1438 (1.34)       3.1873 (2.77)          6;5  61.1924 (0.71)         49           1
test_H[21]                      5.7429 (1.19)         22.7015 (1.31)         14.3349 (1.24)       3.4243 (1.60)         14.4414 (1.37)       4.5034 (3.91)         23;0  69.7599 (0.80)         70           1
test_H[22]                      7.5866 (1.57)         42.5209 (2.46)         15.7247 (1.36)       5.1117 (2.39)         15.7633 (1.49)       5.0832 (4.41)         17;3  63.5943 (0.73)         74           1
test_H[23]                     13.0118 (2.69)         28.2609 (1.63)         19.3902 (1.68)       3.3469 (1.56)         19.9532 (1.89)       5.0982 (4.43)         10;0  51.5724 (0.59)         37           1
test_H[24]                     15.5931 (3.22)         28.7527 (1.66)         24.1999 (2.10)       2.7012 (1.26)         24.6502 (2.34)       2.9828 (2.59)          7;1  41.3224 (0.48)         32           1
test_H[25]                     31.0135 (6.41)         42.1136 (2.43)         36.2656 (3.15)       3.3749 (1.58)         35.9179 (3.40)       4.7728 (4.14)          7;0  27.5744 (0.32)         23           1
test_H[4]                       5.5867 (1.15)         32.3335 (1.87)         14.8918 (1.29)       3.8934 (1.82)         13.6696 (1.30)       4.0343 (3.50)        32;11  67.1510 (0.77)        173           1
test_H[5]                       5.3416 (1.10)         25.1803 (1.45)         14.5589 (1.26)       3.4438 (1.61)         14.0620 (1.33)       4.5161 (3.92)         26;2  68.6867 (0.79)         91           1
test_H[6]                       6.1797 (1.28)         37.5045 (2.17)         14.2625 (1.24)       3.8373 (1.79)         13.6575 (1.29)       2.6315 (2.28)          6;5  70.1138 (0.81)         77           1
test_H[7]                       9.3794 (1.94)         35.1559 (2.03)         14.7409 (1.28)       4.0728 (1.90)         13.8280 (1.31)       4.1089 (3.57)          9;3  67.8386 (0.78)         64           1
test_H[8]                       5.5305 (1.14)         36.8387 (2.13)         14.8917 (1.29)       4.9658 (2.32)         13.8739 (1.31)       3.8198 (3.32)         14;6  67.1517 (0.77)         71           1
test_H[9]                       9.4208 (1.95)         45.2150 (2.61)         15.1696 (1.32)       4.3144 (2.01)         15.3655 (1.46)       2.6588 (2.31)         12;5  65.9212 (0.76)         89           1
test_Measure[10]              107.7264 (22.25)       214.9528 (12.42)       169.7125 (14.72)     39.4041 (18.40)       176.9956 (16.77)     59.3673 (51.55)         2;0   5.8923 (0.07)          6           1
test_Measure[11]              192.2865 (39.71)       258.4684 (14.93)       221.8305 (19.24)     26.8810 (12.55)       213.4176 (20.22)     42.6025 (36.99)         2;0   4.5079 (0.05)          5           1
test_Measure[12]              214.1314 (44.23)       272.6429 (15.75)       233.4704 (20.25)     19.6199 (9.16)        234.0249 (22.17)     18.4412 (16.01)         1;1   4.2832 (0.05)          7           1
test_Measure[13]              243.8717 (50.37)       283.1611 (16.35)       265.5353 (23.03)     15.3147 (7.15)        270.4306 (25.62)     22.0933 (19.18)         2;0   3.7660 (0.04)          5           1
test_Measure[14]              256.5208 (52.98)       279.6112 (16.15)       268.0779 (23.25)     10.1478 (4.74)        270.6076 (25.64)     18.1322 (15.74)         2;0   3.7303 (0.04)          5           1
test_Measure[15]              269.1506 (55.59)       314.1094 (18.14)       288.9923 (25.07)     17.2424 (8.05)        285.3922 (27.04)     24.2423 (21.05)         2;0   3.4603 (0.04)          5           1
test_Measure[16]              270.7540 (55.92)       308.4740 (17.82)       291.0046 (25.24)     15.3921 (7.19)        297.1519 (28.15)     24.0093 (20.85)         2;0   3.4364 (0.04)          5           1
test_Measure[17]              340.6172 (70.35)       394.3128 (22.77)       362.5343 (31.45)     23.3467 (10.90)       350.8915 (33.24)     38.3639 (33.31)         1;0   2.7584 (0.03)          5           1
test_Measure[18]              283.5637 (58.57)       393.9884 (22.76)       343.5064 (29.80)     45.0819 (21.05)       329.7210 (31.24)     69.0632 (59.97)         2;0   2.9112 (0.03)          5           1
test_Measure[19]              359.5089 (74.25)       423.3370 (24.45)       386.3760 (33.51)     30.7255 (14.35)       372.2385 (35.27)     56.7645 (49.29)         1;0   2.5882 (0.03)          5           1
test_Measure[20]              338.5217 (69.92)       419.7977 (24.25)       386.9634 (33.57)     33.8738 (15.82)       398.9977 (37.80)     54.0912 (46.97)         1;0   2.5842 (0.03)          5           1
test_Measure[21]              425.0409 (87.79)       530.6611 (30.65)       465.4515 (40.37)     44.4638 (20.76)       459.5569 (43.54)     71.5219 (62.10)         1;0   2.1485 (0.02)          5           1
